postal_code,borough,neighbourhoods,latitude,longitude
M3A,North York,Parkwoods,43.7545,-79.33
M4A,North York,Victoria Village,43.7276,-79.3148
M5A,Downtown Toronto,Regent Park,43.6555,-79.3626
M5A,Downtown Toronto, Harbourfront,43.6555,-79.3626
M6A,North York,Lawrence Manor,43.7223,-79.4504
M6A,North York, Lawrence Heights,43.7223,-79.4504
M7A,Downtown Toronto,Queen's Park,43.6641,-79.3889
M7A,Downtown Toronto, Ontario Provincial Government,43.6641,-79.3889
M9A,Etobicoke,Islington Avenue,43.6662,-79.5282
M9A,Etobicoke, Humber Valley Village,43.6662,-79.5282
M1B,Scarborough,Malvern,43.8113,-79.193
M1B,Scarborough, Rouge,43.8113,-79.193
M3B,North York,Don Mills,43.745,-79.359
M4B,East York,Parkview Hill,43.7063,-79.3094
M4B,East York, Woodbine Gardens,43.7063,-79.3094
M5B,Downtown Toronto,Garden District,43.6572,-79.3783
M5B,Downtown Toronto, Ryerson,43.6572,-79.3783
M6B,North York,Glencairn,43.7081,-79.4479
M9B,Etobicoke,West Deane Park,43.6505,-79.5517
M9B,Etobicoke, Princess Gardens,43.6505,-79.5517
M9B,Etobicoke, Martin Grove,43.6505,-79.5517
M9B,Etobicoke, Islington,43.6505,-79.5517
M9B,Etobicoke, Cloverdale,43.6505,-79.5517
M1C,Scarborough,Rouge Hill,43.7878,-79.1564
M1C,Scarborough, Port Union,43.7878,-79.1564
M1C,Scarborough, Highland Creek,43.7878,-79.1564
M3C,North York,Don Mills,43.7334,-79.3329
M4C,East York,Woodbine Heights,43.6913,-79.3116
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
M6C,York,Humewood-Cedarvale,43.6915,-79.4307
M9C,Etobicoke,Eringate,43.6437,-79.5767
M9C,Etobicoke, Bloordale Gardens,43.6437,-79.5767
M9C,Etobicoke, Old Burnhamthorpe,43.6437,-79.5767
M9C,Etobicoke, Markland Wood,43.6437,-79.5767
M1E,Scarborough,Guildwood,43.7678,-79.1866
M1E,Scarborough, Morningside,43.7678,-79.1866
M1E,Scarborough, West Hill,43.7678,-79.1866
M4E,East Toronto,The Beaches,43.6784,-79.2941
M5E,Downtown Toronto,Berczy Park,43.6456,-79.3754
M6E,York,Caledonia-Fairbanks,43.6889,-79.4507
M1G,Scarborough,Woburn,43.7712,-79.2144
M4G,East York,Leaside,43.7124,-79.3644
M5G,Downtown Toronto,Central Bay Street,43.6564,-79.38600000000002
M6G,Downtown Toronto,Christie,43.6683,-79.4205
M1H,Scarborough,Cedarbrae,43.7686,-79.2389
M2H,North York,Hillcrest Village,43.8015,-79.3577
M3H,North York,Bathurst Manor,43.7535,-79.4472
M3H,North York, Wilson Heights,43.7535,-79.4472
M3H,North York, Downsview North,43.7535,-79.4472
M4H,East York,Thorncliffe Park,43.7059,-79.3464
M5H,Downtown Toronto,Richmond,43.6496,-79.3833
M5H,Downtown Toronto, Adelaide,43.6496,-79.3833
M5H,Downtown Toronto, King,43.6496,-79.3833
M6H,West Toronto,Dufferin,43.6655,-79.4378
M6H,West Toronto, Dovercourt Village,43.6655,-79.4378
M1J,Scarborough,Scarborough Village,43.7464,-79.2323
M2J,North York,Fairview,43.7801,-79.3479
M2J,North York, Henry Farm,43.7801,-79.3479
M2J,North York, Oriole,43.7801,-79.3479
M3J,North York,Northwood Park,43.7694,-79.4921
M3J,North York, York University,43.7694,-79.4921
M4J,East York,East Toronto,43.6872,-79.3368
M4J,East York, Broadview North (Old East York),43.6872,-79.3368
M5J,Downtown Toronto,Harbourfront East,43.62300000000001,-79.3936
